year,round_no,college_code,college_name,branch,category,closing_rank
2024,2,E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",B.ARCH,KKR,
2024,2,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",B.ARCH,KKR,
2024,2,E138,"Srinivas Institute of Technology-GHS Road, Mangaluru",B.ARCH,KKR,
2024,2,E163,"SJB School of Architecture & Planning-Kengeri, Bengaluru",B.ARCH,KKR,
2024,2,E164,"Reva University-Yelahanka, Bengaluru",B.ARCH,KKR,
2024,2,E168,"Mysore School of Architecture-Lingambudi, Mysuru",B.ARCH,KKR,
2024,2,E169,"R.R.School of Architecture - Chikkabanavara, Bengaluru",B.ARCH,KKR,
2024,2,E175,"Gopalan School of Architecture and Planning-Hoodi, Bengaluru",B.ARCH,KKR,
2024,2,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",B.ARCH,KKR,
2024,2,E178,"Wadiyar Centre for Architecture-Chamaraja Mohalla, Mysuru",B.ARCH,KKR,
2024,2,E181,"Beary's Enviro-Architecture Design School-Near Mangalore University, Mangaluru",B.ARCH,KKR,
2024,2,E186,"Nitte School of Architecture Planning and Design-Yelahanka, Bengaluru",B.ARCH,KKR,
2024,2,E187,"CMR University Bagalur-Chagalatti, Bengaluru",B.ARCH,KKR,
2024,2,E189,"BMS College of Architecture-Bull Temple Road, Bengaluru",B.ARCH,KKR,569.0
2024,2,E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",B.ARCH,KKR,
2024,2,E193,"Dayananda Sagar College of Architecture-Kumaraswamy Layout, Bengaluru",B.ARCH,KKR,
2024,2,E002,"Acharya's NRV School of Architecture-Soladevanahalli, Bengaluru",B.ARCH,GM,558.0
2024,2,E029,"BMS School of Architecture-Yelahanka, Bengaluru",B.ARCH,GM,511.0
2024,2,E039,"Dayananda Sagar Academy of Technology & Management-Kanakapura Main Road, Bengaluru",B.ARCH,GM,494.0
2024,2,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",B.ARCH,GM,385.0
2024,2,E164,"Reva University-Yelahanka, Bengaluru",B.ARCH,GM,621.0
2024,2,E168,"Mysore School of Architecture-Lingambudi, Mysuru",B.ARCH,GM,597.0
2024,2,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",B.ARCH,GM,335.0
2024,2,E178,"Wadiyar Centre for Architecture-Chamaraja Mohalla, Mysuru",B.ARCH,GM,342.0
2024,2,E189,"BMS College of Architecture-Bull Temple Road, Bengaluru",B.ARCH,GM,208.0
2024,2,E193,"Dayananda Sagar College of Architecture-Kumaraswamy Layout, Bengaluru",B.ARCH,GM,590.0
2024,3,E002,"Acharya's NRV School of Architecture-Soladevanahalli, Bengaluru",B.ARCH,GM,
2024,3,E008,"Angadi School of Architecture-Savagaon Road, Belagavi",B.ARCH,GM,
2024,3,E016,"KLE Technological University (Formerly known as BVBCET)-Vidyanagar, Hubbali",B.ARCH,GM,
2024,3,E026,"BLDEA""s V.P. Dr. P.G. Halakatti College of Engineering & Technology-Ashram Road, Vijayapura",B.ARCH,GM,
2024,3,E029,"BMS School of Architecture-Yelahanka, Bengaluru",B.ARCH,GM,570.0
2024,3,E039,"Dayananda Sagar Academy of Technology & Management-Kanakapura Main Road, Bengaluru",B.ARCH,GM,
2024,3,E054,"GSSS School of Architecture for Women-K R S Road, Mysuru",B.ARCH,GM,
2024,3,E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",B.ARCH,GM,
2024,3,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",B.ARCH,GM,613.0
2024,3,E138,"Srinivas Institute of Technology-GHS Road, Mangaluru",B.ARCH,GM,
2024,3,E163,"SJB School of Architecture & Planning-Kengeri, Bengaluru",B.ARCH,GM,
2024,3,E164,"Reva University-Yelahanka, Bengaluru",B.ARCH,GM,
2024,3,E168,"Mysore School of Architecture-Lingambudi, Mysuru",B.ARCH,GM,504.0
2024,3,E169,"R.R.School of Architecture - Chikkabanavara, Bengaluru",B.ARCH,GM,
2024,3,E175,"Gopalan School of Architecture and Planning-Hoodi, Bengaluru",B.ARCH,GM,
2024,3,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",B.ARCH,GM,464.0
2024,3,E178,"Wadiyar Centre for Architecture-Chamaraja Mohalla, Mysuru",B.ARCH,GM,526.0
2024,3,E181,"Beary's Enviro-Architecture Design School-Near Mangalore University, Mangaluru",B.ARCH,GM,
2024,3,E186,"Nitte School of Architecture Planning and Design-Yelahanka, Bengaluru",B.ARCH,GM,
2024,3,E187,"CMR University Bagalur-Chagalatti, Bengaluru",B.ARCH,GM,
2024,3,E189,"BMS College of Architecture-Bull Temple Road, Bengaluru",B.ARCH,GM,246.0
2024,3,E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",B.ARCH,GM,
2024,3,E193,"Dayananda Sagar College of Architecture-Kumaraswamy Layout, Bengaluru",B.ARCH,GM,439.0
2025,1,E002,"Acharya's NRV School of Architecture-Soladevanahalli, Bengaluru",B.ARCH,GM,464.0
2025,1,E002,"Acharya's NRV School of Architecture-Soladevanahalli, Bengaluru",B.ARCH,KKR,
2025,1,E008,"Angadi School of Architecture-Savagaon Road, Belagavi",B.ARCH,GM,
2025,1,E008,"Angadi School of Architecture-Savagaon Road, Belagavi",B.ARCH,KKR,
2025,1,E016,"KLE Technological University (Formerly known as BVBCET)-Vidyanagar, Hubbali",B.ARCH,GM,412.0
2025,1,E016,"KLE Technological University (Formerly known as BVBCET)-Vidyanagar, Hubbali",B.ARCH,KKR,
2025,1,E026,"BLDEA""s V.P. Dr. P.G. Halakatti College of Engineering & Technology-Ashram
Road, Vijayapura",B.ARCH,GM,
2025,1,E026,"BLDEA""s V.P. Dr. P.G. Halakatti College of Engineering & Technology-Ashram
Road, Vijayapura",B.ARCH,KKR,
2025,1,E029,"BMS School of Architecture-Yelahanka, Bengaluru",B.ARCH,GM,437.0
2025,1,E029,"BMS School of Architecture-Yelahanka, Bengaluru",B.ARCH,KKR,
