year,round_no,college_code,college_name,branch,category,closing_rank,course_name,course_code
2024,2,E039,"Dayananda Sagar Academy of Technology & Management-Kanakapura Main Road, Bengaluru",AT,GM,494.0,Architecture,AT
2024,2,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",AT,GM,385.0,Architecture,AT
2024,2,E164,"Reva University-Yelahanka, Bengaluru",AT,GM,621.0,Architecture,AT
2024,2,E168,"Mysore School of Architecture-Lingambudi, Mysuru",AT,GM,597.0,Architecture,AT
2024,2,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",AT,GM,335.0,Architecture,AT
2024,2,E178,"Wadiyar Centre for Architecture-Chamaraja Mohalla, Mysuru",AT,GM,342.0,Architecture,AT
2024,2,E189,"BMS College of Architecture-Bull Temple Road, Bengaluru",AT,GM,208.0,Architecture,AT
2024,2,E193,"Dayananda Sagar College of Architecture-Kumaraswamy Layout, Bengaluru",AT,GM,590.0,Architecture,AT
2024,3,E029,"BMS School of Architecture-Yelahanka, Bengaluru",AT,GM,570.0,Architecture,AT
2024,3,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",AT,GM,613.0,Architecture,AT
2024,3,E168,"Mysore School of Architecture-Lingambudi, Mysuru",AT,GM,504.0,Architecture,AT
2024,3,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",AT,GM,464.0,Architecture,AT
2024,3,E178,"Wadiyar Centre for Architecture-Chamaraja Mohalla, Mysuru",AT,GM,526.0,Architecture,AT
2024,3,E189,"BMS College of Architecture-Bull Temple Road, Bengaluru",AT,GM,246.0,Architecture,AT
2024,3,E193,"Dayananda Sagar College of Architecture-Kumaraswamy Layout, Bengaluru",AT,GM,439.0,Architecture,AT
2025,3,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",AT,GM,422.0,Architecture,AT
2025,3,E189,"B M S College of Architecture, Design and Planning-Bull Temple Road, Bengaluru",AT,GM,400.0,Architecture,AT
2025,3,E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",AT,GM,472.0,Architecture,AT
2025,2,E016,"KLE Technological University (Formerly known as BVBCET)-Vidyanagar, Hubbali",AT,GM,412.0,Architecture,AT
2025,2,E029,"BMS School of Architecture-Yelahanka, Bengaluru",AT,GM,475.0,Architecture,AT
2025,2,E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",AT,GM,480.0,Architecture,AT
2025,2,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",AT,GM,470.0,Architecture,AT
2025,2,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",AT,GM,472.0,Architecture,AT
2025,2,E178,"Wadiyar Centre for Architecture-Chamaraja Mohalla, Mysuru",AT,GM,459.0,Architecture,AT
2025,2,E189,"B M S College of Architecture, Design and Planning-Bull Temple Road, Bengaluru",AT,GM,356.0,Architecture,AT
2025,2,E189,"B M S College of Architecture, Design and Planning-Bull Temple Road, Bengaluru",BIN,GM,478.0,B. Design (Interior Design),BIN
2025,1,E002,"Acharya's NRV School of Architecture-Soladevanahalli, Bengaluru",AT,GM,464.0,Architecture,AT
2025,1,E016,"KLE Technological University (Formerly known as BVBCET)-Vidyanagar, Hubbali",AT,GM,412.0,Architecture,AT
2025,1,E029,"BMS School of Architecture-Yelahanka, Bengaluru",AT,GM,437.0,Architecture,AT
2025,1,E039,"Dayananda Sagar Academy of Technology & Management-Kanakapura Main
Road, Bengaluru",AT,GM,479.0,Architecture,AT
2025,1,E054,"GSSS School of Architecture for Women-K R S Road, Mysuru",AT,GM,191.0,Architecture,AT
2025,1,E073,"KLS Gogte Institute of Technology-Udyambag, Belagavi",AT,GM,480.0,Architecture,AT
2025,1,E077,"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",AT,GM,332.0,Architecture,AT
2025,1,E163,"SJB School of Architecture & Planning-Kengeri, Bengaluru",AT,GM,454.0,Architecture,AT
2025,1,E164,"Reva University-Yelahanka, Bengaluru",AT,GM,472.0,Architecture,AT
2025,1,E168,"Mysore School of Architecture-Lingambudi, Mysuru",AT,GM,418.0,Architecture,AT
2025,1,E176,"RV College of Architecture-Banashankari 6th stage, Bengaluru",AT,GM,214.0,Architecture,AT
2025,1,E178,"Wadiyar Centre for Architecture-Chamaraja Mohalla, Mysuru",AT,GM,386.0,Architecture,AT
2025,1,E189,"B M S College of Architecture, Design and Planning-Bull Temple Road, Bengaluru",AT,GM,157.0,Architecture,AT
2025,1,E189,"B M S College of Architecture, Design and Planning-Bull Temple Road, Bengaluru",AT,KKR,278.0,Architecture,AT
2025,1,E191,"Sir M V School Of Architecture-Yelahanka, Bengaluru",AT,GM,439.0,Architecture,AT
2025,1,E193,"Dayananda Sagar College of Architecture-Kumaraswamy Layout, Bengaluru",AT,GM,475.0,Architecture,AT
2025,1,E189,"B M S College of Architecture, Design and Planning-Bull Temple Road, Bengaluru",BD,GM,13.0,Bachelor Of Design,BD
2025,1,E189,"B M S College of Architecture, Design and Planning-Bull Temple Road, Bengaluru",BIN,GM,482.0,B. Design (Interior Design),BIN
