College Name,College Code,Location,Course,Course Code,Seat Category,Closing_Rank,Predicted_Closing_Rank
"Bangalore Institute of Technology-V V Puram, Bengaluru",E019,BENGALURU,AS-Aerospace Engineering,AS,GM,51158,62546
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,AS-Aerospace Engineering,AS,GM,30129,61684
"M.S. Ramaiah Institute of Technology-MSR Nagar, Bengaluru",E077,BENGALURU,AS-Aerospace Engineering,AS,GM,6767,59873
"R V College of Engineering-Mysore Road, Bengaluru",E095,BENGALURU,AS-Aerospace Engineering,AS,GM,1790,59097
"Sir M.Visvesvaraya Institute of Technology-Yelahanka, Bengaluru",E126,BENGALURU,AS-Aerospace Engineering,AS,GM,78423,57975
"Acharya Institute of Technology-Soladevanahalli, Bengaluru",Unknown,Unknown,AS-Aerospace Engineering,AS,GM,106733,63408
"Atria Institute of Technology-Hebbal, Bengaluru",E012,BENGALURU,AS-Aerospace Engineering,AS,GM,53093,63063
"B.N.M. Institute of Technology-Banashankari, Bengaluru",E015,BENGALURU,AS-Aerospace Engineering,AS,GM,45911,62977
"Bangalore Institute of Technology-V V Puram, Bengaluru",E019,BENGALURU,AS-Aerospace Engineering,AS,GM,24965,62546
"Bapuji Institute of Engineering and Technology-Shamanur Road, Davangere",Unknown,Unknown,AS-Aerospace Engineering,AS,GM,90931,62374
"Basaveshwar Engineering College-Vidya Nagar, Bagalkote",Unknown,Unknown,AS-Aerospace Engineering,AS,GM,109052,62287
"C.M.R. Institute of Technology-Brookefield, Bengaluru",E032,BENGALURU,AS-Aerospace Engineering,AS,GM,39306,62201
"Dayananda Sagar Academy of Technology and Management-Kanakpura Road, Bengaluru",Unknown,Unknown,AS-Aerospace Engineering,AS,GM,94611,61770
"Dayananda Sagar College of Engineering-Kumaraswamy Layout, Bengaluru",E040,BENGALURU,AS-Aerospace Engineering,AS,GM,10627,61684
"Dr. Ambedkar Institute of Technology-Malathahalli, Bengaluru",E042,BENGALURU,AS-Aerospace Engineering,AS,GM,109945,61597
"Global Academy of Technology-Rajarajeshwari Nagar, Bengaluru",E050,BENGALURU,AS-Aerospace Engineering,AS,GM,92682,60994
"GSSS Institute of Engineering and Technology for Women-Metagalli, Mysuru",E055,MYSURU,AS-Aerospace Engineering,AS,GM,88717,61166
